sample_id_int,sample_id,label,label_orig,group_id,title,description,text,split
38139,agnews_train_038139,0,1,0,Halliburton may sell troubled KBR,"Halliburton will restructure and may even sell  its controversial KBR subsidiary, which is mired in overcharging scandals in Iraq. ","Halliburton may sell troubled KBR Halliburton will restructure and may even sell  its controversial KBR subsidiary, which is mired in overcharging scandals in Iraq.",train
64357,agnews_train_064357,0,1,0,Fla. Senate Candidates Have Opposing Views (AP),"AP - Republican Mel Martinez, hoping to become the first Cuban-American senator, criticized his opponent Monday for saying she would not have voted for the war in Iraq ""knowing what I know now."" The first debate between Martinez and Democrat Betty Castor comes as a new poll found Castor had erased the small gap between them.","Fla. Senate Candidates Have Opposing Views (AP) AP - Republican Mel Martinez, hoping to become the first Cuban-American senator, criticized his opponent Monday for saying she would not have voted for the war in Iraq ""knowing what I know now."" The first debate between Martinez and Democrat Betty Castor comes as a new poll found Castor had erased the small gap between them.",train
1981,agnews_train_001981,2,3,2,Google IPO document not declared,"WASHINGTON (Reuters) - The US Securities and Exchange Commission has not declared effective Google #39;s registration statement for its multibillion-dollar initial public offering by the close of the agency #39;s business day on Tuesday, an SEC official says. ","Google IPO document not declared WASHINGTON (Reuters) - The US Securities and Exchange Commission has not declared effective Google #39;s registration statement for its multibillion-dollar initial public offering by the close of the agency #39;s business day on Tuesday, an SEC official says.",train
76563,agnews_train_076563,0,1,0,Three UN workers seized by militants in Kabul,"Nato troops are hunting for three UN workers, one of them British-Irish, kidnapped in Afghanistan #39;s first Iraqi-style abduction yesterday.","Three UN workers seized by militants in Kabul Nato troops are hunting for three UN workers, one of them British-Irish, kidnapped in Afghanistan #39;s first Iraqi-style abduction yesterday.",train
21886,agnews_train_021886,1,2,1,Eagles Reward Reid with Four-Year Extension," PHILADELPHIA (Sports Network) - The Philadelphia Eagles  locked up their most successful head coach in franchise history  Wednesday, signing Andy Reid to a four-year contract extension.","Eagles Reward Reid with Four-Year Extension PHILADELPHIA (Sports Network) - The Philadelphia Eagles  locked up their most successful head coach in franchise history  Wednesday, signing Andy Reid to a four-year contract extension.",train
100264,agnews_train_100264,0,1,0,Report: HIV Spreading Faster Among Women,"The epidemic of human immunodeficiency virus  infection is growing more rapidly in women \than in men in almost every part of the world, according to a new report.","Report: HIV Spreading Faster Among Women The epidemic of human immunodeficiency virus  infection is growing more rapidly in women \than in men in almost every part of the world, according to a new report.",train
92485,agnews_train_092485,3,4,3,Microsoft Makes a Play for Novell Users,"This week, Martin Taylor, Microsoft #39;s general manager for platform strategy, isn #39;t touting any new Microsoft-funded studies aimed to demonstrate that Microsoft #39;s total-cost-of-ownership numbers beat those of its Linux competitors.","Microsoft Makes a Play for Novell Users This week, Martin Taylor, Microsoft #39;s general manager for platform strategy, isn #39;t touting any new Microsoft-funded studies aimed to demonstrate that Microsoft #39;s total-cost-of-ownership numbers beat those of its Linux competitors.",train
77289,agnews_train_077289,1,2,1,Cavs #39; Wagner will be free agent after season,"Former Camden High School star Dajuan Wagner, who has had an injury-filled NBA career thus far, will become an unrestricted free agent after the season because the Cleveland Cavaliers declined to pick up the option on Wagner #39;s contract for the 2005-06 ","Cavs #39; Wagner will be free agent after season Former Camden High School star Dajuan Wagner, who has had an injury-filled NBA career thus far, will become an unrestricted free agent after the season because the Cleveland Cavaliers declined to pick up the option on Wagner #39;s contract for the 2005-06",train
18143,agnews_train_018143,2,3,2,Interim Chief at Enron Asks for \$25 Million,"Enron Corp.'s interim chief executive has asked a federal bankruptcy judge to award his firm a \$25 million ""success fee"" for stabilizing the fallen  energy giant.","Interim Chief at Enron Asks for \$25 Million Enron Corp.'s interim chief executive has asked a federal bankruptcy judge to award his firm a \$25 million ""success fee"" for stabilizing the fallen  energy giant.",train
74274,agnews_train_074274,3,4,3,Robotic Craft's Launch Delayed At Least 2 Days,"NASA postponed for at least two days the launch of its robotic satellite-chasing spacecraft because the target satellite temporarily lost reception of a key navigational signal, the agency said Tuesday.","Robotic Craft's Launch Delayed At Least 2 Days NASA postponed for at least two days the launch of its robotic satellite-chasing spacecraft because the target satellite temporarily lost reception of a key navigational signal, the agency said Tuesday.",train
