sample_id,label,label_orig,group_id,title,description,text,split
agnews_test_000006,3,4,3,Loosing the War on Terrorism,"\\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\responsible for 70 percent of virus infections in 2004, according to a six-month\virus roundup published Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 variants of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\","Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\responsible for 70 percent of virus infections in 2004, according to a six-month\virus roundup published Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 variants of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\",test
agnews_test_001279,2,3,2,INTERVIEW: Australia #39;s QBE Consolidates European Units,"SYDNEY (Dow Jones)--Seeking to cut costs and encouraged by UK regulatory changes, Australia #39;s QBE Insurance group Ltd. (QBE.AU) Tuesday said it will merge its Lloyd #39;s division with other European operations.","INTERVIEW: Australia #39;s QBE Consolidates European Units SYDNEY (Dow Jones)--Seeking to cut costs and encouraged by UK regulatory changes, Australia #39;s QBE Insurance group Ltd. (QBE.AU) Tuesday said it will merge its Lloyd #39;s division with other European operations.",test
agnews_test_001535,0,1,0,Accused deserter surrenders in Japan,"An accused US Army deserter has surrendered at a US military base near Tokyo to face charges filed in 1965, the Kyodo news service reported.","Accused deserter surrenders in Japan An accused US Army deserter has surrendered at a US military base near Tokyo to face charges filed in 1965, the Kyodo news service reported.",test
agnews_test_004580,2,3,2,"FaceTime, IMlogic Back Live Communications Server 2005","Hard on the heels of Microsoft announcing that it #39;s taken Live Communications Server 2005 gold, instant messaging management software vendors IMlogic and FaceTime on Tuesday both touted their support for the communication product.","FaceTime, IMlogic Back Live Communications Server 2005 Hard on the heels of Microsoft announcing that it #39;s taken Live Communications Server 2005 gold, instant messaging management software vendors IMlogic and FaceTime on Tuesday both touted their support for the communication product.",test
agnews_test_006379,2,3,2,British grocer Tesco sees group sales rise 12.0-percent (AFP),"AFP - Tesco, Britain's biggest supermarket chain, said that group sales grew by 12.2 percent in the third quarter, driven by strong performances from its stores at home and abroad.","British grocer Tesco sees group sales rise 12.0-percent (AFP) AFP - Tesco, Britain's biggest supermarket chain, said that group sales grew by 12.2 percent in the third quarter, driven by strong performances from its stores at home and abroad.",test
agnews_test_002328,1,2,1,"Serena Williams, Sharapova reach quarterfinals",Serena Williams struggled before finding her game Wednesday and reached the China Open quarterfinals with Wimbledon champion Maria Sharapova.,"Serena Williams, Sharapova reach quarterfinals Serena Williams struggled before finding her game Wednesday and reached the China Open quarterfinals with Wimbledon champion Maria Sharapova.",test
agnews_test_006312,3,4,3,REVIEW: 'Half-Life 2' a Tech Masterpiece (AP),"AP - It's been six years since Valve Corp. perfected the first-person shooter with ""Half-Life."" Video games have come a long way since, with better graphics and more options than ever. Still, relatively few games have mustered this one's memorable characters and original science fiction story.","REVIEW: 'Half-Life 2' a Tech Masterpiece (AP) AP - It's been six years since Valve Corp. perfected the first-person shooter with ""Half-Life."" Video games have come a long way since, with better graphics and more options than ever. Still, relatively few games have mustered this one's memorable characters and original science fiction story.",test
agnews_test_001517,0,1,0,U.S. Troops Lay Siege to Iraqi City (AP),AP - U.S. troops handed over medical supplies to Iraqi relief workers Friday amid a siege of a northeastern ethnic Turkish city where Iraqi and American forces are trying to root out hundreds of militants.,U.S. Troops Lay Siege to Iraqi City (AP) AP - U.S. troops handed over medical supplies to Iraqi relief workers Friday amid a siege of a northeastern ethnic Turkish city where Iraqi and American forces are trying to root out hundreds of militants.,test
agnews_test_007361,2,3,2,Business ; Fiat Talks Tough Ahead of Key GM Meeting," quot;There is a very good argument to say that the Italian car plants could benefit from the relocation of other GM businesses in Europe, quot; Marchionne was quoted as saying.","Business ; Fiat Talks Tough Ahead of Key GM Meeting quot;There is a very good argument to say that the Italian car plants could benefit from the relocation of other GM businesses in Europe, quot; Marchionne was quoted as saying.",test
agnews_test_005077,2,3,2,Yukos to vote on bankruptcy,Yukos warned yesterday it could declare bankruptcy within months following fresh tax claims that could leave Russia #39;s biggest oil company facing an astronomical bill of \$17 billion (R104 billion).,Yukos to vote on bankruptcy Yukos warned yesterday it could declare bankruptcy within months following fresh tax claims that could leave Russia #39;s biggest oil company facing an astronomical bill of \$17 billion (R104 billion).,test
agnews_test_007435,1,2,1,Spain coach faces racism inquiry,THE Spanish football federation yesterday opened a disciplinary file against national coach Luis Aragones - but anti-racism campaigners expect him to be let off with a warning.,Spain coach faces racism inquiry THE Spanish football federation yesterday opened a disciplinary file against national coach Luis Aragones - but anti-racism campaigners expect him to be let off with a warning.,test
agnews_test_003185,3,4,3,Nobel honours sub-atomic world ,"US scientists David Gross, David Politzer and Frank Wilczeck win the Nobel physics prize for their insights into the deep structure of matter.","Nobel honours sub-atomic world US scientists David Gross, David Politzer and Frank Wilczeck win the Nobel physics prize for their insights into the deep structure of matter.",test
agnews_test_002226,0,1,0,"At UN, Bush defends decision to invade Iraq","President Bush went before a skeptical hall of world leaders Tuesday to mount a vigorous defense of the war in Iraq, telling the United Nations that the Iraqi people are ","At UN, Bush defends decision to invade Iraq President Bush went before a skeptical hall of world leaders Tuesday to mount a vigorous defense of the war in Iraq, telling the United Nations that the Iraqi people are",test
agnews_test_000182,1,2,1,Pacers Activate Foster From Injured List (AP),AP - The Indiana Pacers activated center Jeff Foster from the injured list Tuesday.,Pacers Activate Foster From Injured List (AP) AP - The Indiana Pacers activated center Jeff Foster from the injured list Tuesday.,test
agnews_test_001416,2,3,2,Stocks Higher on Drop in Jobless Claims,A sharp drop in initial unemployment claims and bullish forecasts from Nokia and Texas Instruments sent stocks higher in early trading Thursday.,Stocks Higher on Drop in Jobless Claims A sharp drop in initial unemployment claims and bullish forecasts from Nokia and Texas Instruments sent stocks higher in early trading Thursday.,test
agnews_test_003904,0,1,0,Iran to shun Europe nuclear deal,Iran says it will reject any European proposal which requires it to halt its nuclear activities completely.,Iran to shun Europe nuclear deal Iran says it will reject any European proposal which requires it to halt its nuclear activities completely.,test
agnews_test_002317,2,3,2,Russian atmosphere hard for Westerners,"The government has eviscerated Russia #39;s Western-style oil company, Yukos, in what has been widely viewed as political payback.","Russian atmosphere hard for Westerners The government has eviscerated Russia #39;s Western-style oil company, Yukos, in what has been widely viewed as political payback.",test
agnews_test_004247,0,1,0,Kerry to hunt for male US votes as Bush courts Catholics (AFP),"AFP - US Democratic presidential candidate John Kerry will switch to macho politics when he makes an atypical hunting trip to rural Ohio in a bid to woo traditionalist male voters, while President George W. Bush courts Catholics in Pennsylvania less than two week before election day.","Kerry to hunt for male US votes as Bush courts Catholics (AFP) AFP - US Democratic presidential candidate John Kerry will switch to macho politics when he makes an atypical hunting trip to rural Ohio in a bid to woo traditionalist male voters, while President George W. Bush courts Catholics in Pennsylvania less than two week before election day.",test
agnews_test_004320,3,4,3,NEC Tops IBM with Speedier Supercomputer,"NEC has unveiled its latest supercomputer, which is almost twice as fast as the BlueGene/L machine rolled out by IBM in September.","NEC Tops IBM with Speedier Supercomputer NEC has unveiled its latest supercomputer, which is almost twice as fast as the BlueGene/L machine rolled out by IBM in September.",test
agnews_test_006496,3,4,3,Climate change and unfamiliar species leave Inuit lost for words,Global warming is increasingly rendering Inuit and other Arctic peoples at a loss for words. They simply do not have names in their languages for the temperate species flocking up from the south.,Climate change and unfamiliar species leave Inuit lost for words Global warming is increasingly rendering Inuit and other Arctic peoples at a loss for words. They simply do not have names in their languages for the temperate species flocking up from the south.,test
agnews_test_001510,3,4,3,Firms announce video antipiracy technology,"This fourth priority #39;s main focus has been improving or obtaining CRM and ERP software for the past year and a half. NDS, STMicroelectronics and Thomson said Friday that they will develop new encryption technology ","Firms announce video antipiracy technology This fourth priority #39;s main focus has been improving or obtaining CRM and ERP software for the past year and a half. NDS, STMicroelectronics and Thomson said Friday that they will develop new encryption technology",test
agnews_test_005617,0,1,0,"Vilsack, Dean Jockey for Top DNC Post (AP)",AP - Iowa Gov. Tom Vilsack told Democratic leaders on Friday he may seek the party's top job as the jockeying to replace chairman Terry McAuliffe intensified.,"Vilsack, Dean Jockey for Top DNC Post (AP) AP - Iowa Gov. Tom Vilsack told Democratic leaders on Friday he may seek the party's top job as the jockeying to replace chairman Terry McAuliffe intensified.",test
agnews_test_002415,3,4,3,Symantec Firewall/VPN Appliance 200/200R (firmware builds prior to &lt;b&gt;...&lt;/b&gt;,Rigel Kent Security  amp; Advisory Services notified Symantec of three high-risk vulnerabilities they identified in the Symantec Firewall/VPN Appliance during an assessment.,Symantec Firewall/VPN Appliance 200/200R (firmware builds prior to &lt;b&gt;...&lt;/b&gt; Rigel Kent Security  amp; Advisory Services notified Symantec of three high-risk vulnerabilities they identified in the Symantec Firewall/VPN Appliance during an assessment.,test
agnews_test_004454,1,2,1,FERGUSON ATTACKED IN TUNNEL BUST-UP,SIR ALEX FERGUSON was pelted with food and pea soup by an Arsenal player in an extraordinary tunnel bust-up at Old Trafford yesterday.,FERGUSON ATTACKED IN TUNNEL BUST-UP SIR ALEX FERGUSON was pelted with food and pea soup by an Arsenal player in an extraordinary tunnel bust-up at Old Trafford yesterday.,test
